City,State,Country,Region,Postal_Code
Henderson,Kentucky,United States,South,42420
Los Angeles,California,United States,West,90036
Fort Lauderdale,Florida,United States,South,33311
Los Angeles,California,United States,West,90032
Concord,North Carolina,United States,South,28027
Seattle,Washington,United States,West,98103
Fort Worth,Texas,United States,Central,76106
Madison,Wisconsin,United States,Central,53711
West Jordan,Utah,United States,West,84084
San Francisco,California,United States,West,94109
Fremont,Nebraska,United States,Central,68025
Philadelphia,Pennsylvania,United States,East,19140
Orem,Utah,United States,West,84057
Los Angeles,California,United States,West,90049
Houston,Texas,United States,Central,77095
Richardson,Texas,United States,Central,75080
Houston,Texas,United States,Central,77041
Naperville,Illinois,United States,Central,60540
Melbourne,Florida,United States,South,32935
Eagan,Minnesota,United States,Central,55122
Westland,Michigan,United States,Central,48185
Dover,Delaware,United States,East,19901
New Albany,Indiana,United States,Central,47150
New York City,New York,United States,East,10024
Troy,New York,United States,East,12180
Los Angeles,California,United States,West,90004
Chicago,Illinois,United States,Central,60610
Gilbert,Arizona,United States,West,85234
Springfield,Virginia,United States,South,22153
New York City,New York,United States,East,10009
Jackson,Michigan,United States,Central,49201
Memphis,Tennessee,United States,South,38109
Houston,Texas,United States,Central,77070
Decatur,Alabama,United States,South,35601
San Francisco,California,United States,West,94122
Durham,North Carolina,United States,South,27707
Chicago,Illinois,United States,Central,60623
Columbia,South Carolina,United States,South,29203
Rochester,Minnesota,United States,Central,55901
Minneapolis,Minnesota,United States,Central,55407
Portland,Oregon,United States,West,97206
Saint Paul,Minnesota,United States,Central,55106
Aurora,Colorado,United States,West,80013
Charlotte,North Carolina,United States,South,28205
Orland Park,Illinois,United States,Central,60462
New York City,New York,United States,East,10035
Urbandale,Iowa,United States,Central,50322
Columbus,Ohio,United States,East,43229
Bristol,Tennessee,United States,South,37620
Wilmington,Delaware,United States,East,19805
Bloomington,Illinois,United States,Central,61701
Phoenix,Arizona,United States,West,85023
Roseville,California,United States,West,95661
Independence,Missouri,United States,Central,64055
Pasadena,California,United States,West,91104
Newark,Ohio,United States,East,43055
Franklin,Wisconsin,United States,Central,53132
Scottsdale,Arizona,United States,West,85254
San Jose,California,United States,West,95123
Seattle,Washington,United States,West,98105
Seattle,Washington,United States,West,98115
Edmond,Oklahoma,United States,Central,73034
Los Angeles,California,United States,West,90045
Philadelphia,Pennsylvania,United States,East,19134
Carlsbad,New Mexico,United States,West,88220
San Antonio,Texas,United States,Central,78207
Houston,Texas,United States,Central,77036
Decatur,Illinois,United States,Central,62521
Monroe,Louisiana,United States,South,71203
Fairfield,Connecticut,United States,East,6824
Grand Prairie,Texas,United States,Central,75051
Redlands,California,United States,West,92374
Hamilton,Ohio,United States,East,45011
Westfield,New Jersey,United States,East,7090
Philadelphia,Pennsylvania,United States,East,19120
Akron,Ohio,United States,East,44312
Denver,Colorado,United States,West,80219
Dallas,Texas,United States,Central,75220
Franklin,Tennessee,United States,South,37064
Whittier,California,United States,West,90604
Saginaw,Michigan,United States,Central,48601
Medina,Ohio,United States,East,44256
Dublin,Ohio,United States,East,43017
Detroit,Michigan,United States,Central,48227
Columbia,Tennessee,United States,South,38401
Tampa,Florida,United States,South,33614
Santa Clara,California,United States,West,95051
Lakeville,Minnesota,United States,Central,55044
San Diego,California,United States,West,92037
Pasadena,Texas,United States,Central,77506
Brentwood,California,United States,West,94513
Chapel Hill,North Carolina,United States,South,27514
Morristown,New Jersey,United States,East,7960
Cincinnati,Ohio,United States,East,45231
San Francisco,California,United States,West,94110
Inglewood,California,United States,West,90301
Tamarac,Florida,United States,South,33319
Colorado Springs,Colorado,United States,West,80906
Belleville,New Jersey,United States,East,7109
Taylor,Michigan,United States,Central,48180
Lakewood,New Jersey,United States,East,8701
Arlington,Virginia,United States,South,22204
Arvada,Colorado,United States,West,80004
Hackensack,New Jersey,United States,East,7601
Saint Petersburg,Florida,United States,South,33710
Philadelphia,Pennsylvania,United States,East,19143
Long Beach,California,United States,West,90805
Hesperia,California,United States,West,92345
Murfreesboro,Tennessee,United States,South,37130
Layton,Utah,United States,West,84041
Austin,Texas,United States,Central,78745
Lowell,Massachusetts,United States,East,1852
Columbus,Georgia,United States,South,31907
Manchester,Connecticut,United States,East,6040
Harlingen,Texas,United States,Central,78550
Tucson,Arizona,United States,West,85705
Quincy,Illinois,United States,Central,62301
Franklin,Massachusetts,United States,East,2038
Pembroke Pines,Florida,United States,South,33024
Des Moines,Washington,United States,West,98198
Peoria,Illinois,United States,Central,61604
Las Vegas,Nevada,United States,West,89115
Warwick,Rhode Island,United States,East,2886
Miami,Florida,United States,South,33180
Wilmington,North Carolina,United States,South,28403
Huntington Beach,California,United States,West,92646
Richmond,Kentucky,United States,South,40475
Louisville,Colorado,United States,West,80027
Lawrence,Massachusetts,United States,East,1841
Jackson,Mississippi,United States,South,39212
Canton,Michigan,United States,Central,48187
New Rochelle,New York,United States,East,10801
Gastonia,North Carolina,United States,South,28052
Jacksonville,Florida,United States,South,32216
Columbus,Indiana,United States,Central,47201
Auburn,New York,United States,East,13021
Norman,Oklahoma,United States,Central,73071
Concord,California,United States,West,94521
Park Ridge,Illinois,United States,Central,60068
Amarillo,Texas,United States,Central,79109
Lindenhurst,New York,United States,East,11757
Los Angeles,California,United States,West,90008
San Diego,California,United States,West,92024
Huntsville,Texas,United States,Central,77340
Rochester,New York,United States,East,14609
Fayetteville,Arkansas,United States,South,72701
Costa Mesa,California,United States,West,92627
Parker,Colorado,United States,West,80134
Atlanta,Georgia,United States,South,30318
Gladstone,Missouri,United States,Central,64118
Great Falls,Montana,United States,West,59405
Detroit,Michigan,United States,Central,48234
Lakeland,Florida,United States,South,33801
Montgomery,Alabama,United States,South,36116
Mesa,Arizona,United States,West,85204
Chicago,Illinois,United States,Central,60653
Green Bay,Wisconsin,United States,Central,54302
Springfield,Ohio,United States,East,45503
Anaheim,California,United States,West,92804
Marysville,Washington,United States,West,98270
Salem,Oregon,United States,West,97301
Laredo,Texas,United States,Central,78041
Dallas,Texas,United States,Central,75217
Grove City,Ohio,United States,East,43123
New York City,New York,United States,East,10011
Dearborn,Michigan,United States,Central,48126
Warner Robins,Georgia,United States,South,31088
Vallejo,California,United States,West,94591
Mission Viejo,California,United States,West,92691
Rochester Hills,Michigan,United States,Central,48307
Plainfield,New Jersey,United States,East,7060
Sierra Vista,Arizona,United States,West,85635
Vancouver,Washington,United States,West,98661
Aurora,Illinois,United States,Central,60505
Arlington,Texas,United States,Central,76017
Louisville,Kentucky,United States,South,40214
Dallas,Texas,United States,Central,75081
Cleveland,Ohio,United States,East,44105
Tyler,Texas,United States,Central,75701
Burlington,North Carolina,United States,South,27217
Waynesboro,Virginia,United States,South,22980
Chester,Pennsylvania,United States,East,19013
Cary,North Carolina,United States,South,27511
Palm Coast,Florida,United States,South,32137
Mount Vernon,New York,United States,East,10550
Detroit,Michigan,United States,Central,48205
Hialeah,Florida,United States,South,33012
Oceanside,New York,United States,East,11572
San Diego,California,United States,West,92105
Evanston,Illinois,United States,Central,60201
Trenton,Michigan,United States,Central,48183
Cottage Grove,Minnesota,United States,Central,55016
Bossier City,Louisiana,United States,South,71111
Des Moines,Iowa,United States,Central,50315
Lancaster,California,United States,West,93534
Richmond,Virginia,United States,South,23223
Asheville,North Carolina,United States,South,28806
Lake Elsinore,California,United States,West,92530
Omaha,Nebraska,United States,Central,68104
Edmonds,Washington,United States,West,98026
Santa Ana,California,United States,West,92704
Milwaukee,Wisconsin,United States,Central,53209
Florence,Kentucky,United States,South,41042
Lorain,Ohio,United States,East,44052
Linden,New Jersey,United States,East,7036
Salinas,California,United States,West,93905
New Brunswick,New Jersey,United States,East,8901
Lancaster,Pennsylvania,United States,East,17602
Concord,New Hampshire,United States,East,3301
Columbia,Maryland,United States,East,21044
Garland,Texas,United States,Central,75043
Norwich,Connecticut,United States,East,6360
Alexandria,Virginia,United States,South,22304
Toledo,Ohio,United States,East,43615
Farmington,New Mexico,United States,West,87401
Riverside,California,United States,West,92503
Torrance,California,United States,West,90503
Round Rock,Texas,United States,Central,78664
Oceanside,California,United States,West,92054
Boca Raton,Florida,United States,South,33433
Virginia Beach,Virginia,United States,South,23464
Murrieta,California,United States,West,92563
Jacksonville,North Carolina,United States,South,28540
Burlington,Iowa,United States,Central,52601
Olympia,Washington,United States,West,98502
Washington,District of Columbia,United States,East,20016
Jefferson City,Missouri,United States,Central,65109
